FULL NAME,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
P.J. Tucker,32,30,62.4,7.7,19,23,0.783,45,0.467,86,0.314,0.469,0.5,4.4,4.6,8.2,1.4,6.1,0.88,0.56,1.03,4.1,99,109.3
P.J. Washington,64,30.5,63.6,19.4,14.6,145,0.745,397,0.479,290,0.386,0.521,0.549,12.9,6.5,11.6,2.5,12.2,1.09,1.23,2,7.8,104.3,105.8
Pascal Siakam,56,35.8,74.6,26.4,10.6,301,0.827,715,0.509,246,0.297,0.493,0.547,21.4,7.2,11.1,4.5,20.5,1.14,0.68,2.32,9.9,110.6,107.4
Pat Connaughton,69,22.8,47.5,11.6,7.5,40,0.775,115,0.583,272,0.371,0.565,0.578,6.8,4.8,11.1,1.2,6.3,0.68,0.33,0.48,6,120.2,107.6
Patrick Beverley,37,22.5,46.9,14.6,12.4,45,0.8,79,0.468,141,0.397,0.55,0.58,7.5,3.2,8,2.1,12,0.76,0.76,0.92,6.6,117.2,100.7
Patrick Patterson,38,15.3,31.9,14,6,17,0.765,53,0.604,112,0.357,0.558,0.571,5.2,2,7.3,0.8,6.7,0.37,0.21,0.29,5.3,118.5,107.7
Patrick Williams,71,27.9,58.2,14.9,14.4,125,0.728,390,0.515,138,0.391,0.534,0.562,9.2,4.6,9.1,1.4,6.7,0.9,0.65,1.38,5.6,104.6,109.1
Patty Mills,68,24.8,51.6,18.4,9.1,78,0.91,182,0.5,430,0.374,0.543,0.569,10.8,1.7,3.7,2.4,13.5,0.6,0.04,0.96,5.7,110.7,113.7
Paul George,54,33.7,70.3,30,14.5,228,0.868,537,0.51,416,0.411,0.557,0.598,23.3,6.6,11.1,5.2,24.6,1.15,0.44,3.31,11,112.7,105.6
Paul Millsap,56,20.8,43.2,18.6,10.3,98,0.724,258,0.55,143,0.343,0.537,0.565,9,4.7,12.7,1.8,11.6,0.91,0.64,0.91,8.2,116,104.2
